date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:04	495/495	---MCZ	200	added ('OK')	text/plain	etag:cacheable:8738a143594523043015d33c3235163f	https://oldiesoldies.com/robots.txt		(from )
22:01:04	83752/83752	---MCZ	200	added ('OK')	text/html	etag:cacheable:95e7032066224922be90c0cc10c8f557	https://oldiesoldies.com/	/Users/kenhung/tt/tttt/oldiesoldies.com/index.html	(from )
22:01:04	47802/47802	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:c12e871ac71f8908df835dd6075fe0bc	https://oldiesoldies.com/GET	/Users/kenhung/tt/tttt/oldiesoldies.com/GET	(from https://oldiesoldies.com/)
22:01:05	47802/47802	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:c12e871ac71f8908df835dd6075fe0bc	https://oldiesoldies.com/POST	/Users/kenhung/tt/tttt/oldiesoldies.com/POST	(from https://oldiesoldies.com/)
22:01:07	51145/51145	---MCZ	200	added ('OK')	text/html	etag:cacheable:a457d8bb671e0ae9284d5770f78ecdcc	https://oldiesoldies.com/cart	/Users/kenhung/tt/tttt/oldiesoldies.com/cart.html	(from https://oldiesoldies.com/)
22:01:08	95490/95490	---MCZ	200	added ('OK')	text/html	etag:cacheable:ae5ef51aec2e74aad81002e2545e4c74	https://oldiesoldies.com/collections/new-arrival	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival.html	(from https://oldiesoldies.com/)
22:01:09	91053/91053	---MCZ	200	added ('OK')	text/html	etag:cacheable:9aee08d9146793553d37cf9614de8162	https://oldiesoldies.com/collections/frontpage	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/frontpage.html	(from https://oldiesoldies.com/)
22:01:10	105032/105032	---MCZ	200	added ('OK')	text/html	etag:cacheable:e162dc87417087da791a51607c012724	https://oldiesoldies.com/collections/jute-bags	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags.html	(from https://oldiesoldies.com/)
22:01:11	106102/106102	---MCZ	200	added ('OK')	text/html	etag:cacheable:5ae3d9b72035faca68ce0c14cdc327db	https://oldiesoldies.com/collections/select	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/select.html	(from https://oldiesoldies.com/)
22:01:12	101651/101651	---MCZ	200	added ('OK')	text/html	etag:cacheable:c0e0ee3e41298a1016c7fc09b77173fc	https://oldiesoldies.com/collections/vintage	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/vintage.html	(from https://oldiesoldies.com/)
22:01:13	103511/103511	---MCZ	200	added ('OK')	text/html	etag:cacheable:45aaf9de5c3c70d5e9f7b2238fed50c6	https://oldiesoldies.com/collections/frontpage/products/antique-skirt	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/frontpage/products/antique-skirt.html	(from https://oldiesoldies.com/)
22:01:14	142658/142658	---MCZ	200	added ('OK')	text/html	etag:cacheable:1bda13cc9869eb2d94cc27f129ab6f35	https://oldiesoldies.com/collections/frontpage/products/the-emperors-new-clothes	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/frontpage/products/the-emperors-new-clothes.html	(from https://oldiesoldies.com/)
22:01:15	76058/76058	---MCZ	200	added ('OK')	text/html	etag:cacheable:a7f7787c5473e9ecb4e011a5950cedd4	https://oldiesoldies.com/collections/frontpage/products/antique-vest	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/frontpage/products/antique-vest.html	(from https://oldiesoldies.com/)
